,link,title,views,category
0,n3l4hJS0jsc&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,40 Minutes of Black Comedy Excellence,"15,502,803",Comedy and Entertainment
1,STiqG8SKZvY&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,Adivasi Chandramukhi || New Sadri comedy video || Directed by Elan Tanti || Adivasi Comedy ||,"12,847",Comedy and Entertainment
2,x7Wkf4q3zg&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,Top 10 Hindi Comedy Scenes | Paresh Rawal | Akshay Kumar Arshad Warsi | Johnny Lever | Rajpal Yadav,"5,484,127",Comedy and Entertainment
3,kCC7Y616-b8&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,अबे जल्दी बोल कल सुबह पनवेल निकलना है | Vasool Bhai - Sanjay Mishra | Comedy Talkies,"5,019,165",Comedy and Entertainment
4,zHC0EwPF074&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,"Akshay Kumar - Johnny Lever - Back To Back Comedy Scenes | Entertainment | Sonu Sood, Tamannaah","4,599,156",Comedy and Entertainment
5,LXXkiUKDK4w&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,"Entertainment | Full Movie | Akshay Kumar, Tamannaah Bhatia, Johnny Lever","219,246,074",Comedy and Entertainment
6,Qv6JGA049pY&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,CRAZY ENTERTAINERS VOL 1,"1,102,902",Comedy and Entertainment
7,8VgjCkUVE&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,"Akshay Kumar Comedy Scenes | Back To Back Comedy | Entertainment | Tamannaah Bhatia, Johnny Lever|HD","18,371,069",Comedy and Entertainment
8,T7p1mVQ8w6M&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,साडेचारच्या बातम्या LIVE दि. 26.11.2023,"4,514",Comedy and Entertainment
9,_EJT78wETdk&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,इजराइल को चारों तरफ से खाड़ी देशों ने घेरा/ ISRAEL- PALESTINE CONFLICT UPDATE BY SHAMBHU,"62,496",Comedy and Entertainment
10,R6ihXci4JHw&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,"O EX MAIS CAGADO DO BRASIL, AVENIDA PAULISTA - EMBOLADA","3,199",Comedy and Entertainment
11,PFNYmYoYuoM&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,ঢাকায় ৫৮০ টাকায় ষাঁড় গরু বিক্রি করায় তোপের মুখে মাংস বিক্রেতা! গরুর মাংসের বাজার দর ২০২৩,"10,565",Comedy and Entertainment
12,ncIX1IJ_CzI&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,New Entertainment Top Funny Video Best Comedy in 2022 Episode 77 By Fun Tv 420,"23,208,999",Comedy and Entertainment
13,H7UwSlW4G_U&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,"Entertainment Back To Back Comedy Scenes | Akshay Kumar, Johnny Lever, Sonu Sood, Tamannaah","236,302",Comedy and Entertainment
14,0CfNa84Iw&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,Dogs Fighting With Prakash Raj & Sonu Sood- Comedy Scenes | Entertainment | Hindi Film,"49,654,107",Comedy and Entertainment
15,URLnnMkx9hc&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,Akshay Kumar's Comedy Scene With Shreyas Talpade | Entertainment Hindi Movie,"2,538,752",Comedy and Entertainment
16,MCGzhfMjE1I&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,New Entertainment Top Funny Video 😂 Best Comedy in 2023 By FunTv 420,"3,134,367",Comedy and Entertainment
17,4FgfmFyQMQE&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,"सबका बाप, दिव्यांश | कॉमेडी सर्कस 2018","14,879,565",Comedy and Entertainment
18,NVoGuof1W8&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,Episode 23 | Tawa ng Tanghalan,"3,426,727",Comedy and Entertainment
19,3_Pbs8ZZ7r8&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,"Entertainment (HD) Best Comedy Scenes | Akshay Kumar, Tamannah Bhatia, Johnny Lever","163,210",Comedy and Entertainment
20,CknooopMzI&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,"New Entertainment Top Comedy Video, Best Comedy in 2023 Episode 217 By #Busyfunltd","7,058,617",Comedy and Entertainment
21,RqRqicSX8k&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,New Entertainment Top Funny Video Best Comedy in 2022 Episode 205 By Funny Day,"4,927,194",Comedy and Entertainment
22,8JbIn2uBc&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,"Entertainment | Akshay Kumar, Tamannaah Bhatia | Hindi Movie Part 8","9,637,594",Comedy and Entertainment
23,_f0XdnzZo6s&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,Bharti और Siddharth ने बनाई नई 'Mohabbatein' | Comedy Circus | Siddharth Sagar Comedy,"593,945",Comedy and Entertainment
24,Y6D1_ozC4Uw&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,New Entertainment Top Funny Video Best Comedy in 2023 Episode 55 By MK Fun TV,"21,444,226",Comedy and Entertainment
25,1FqFZGDN-4c&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,Akshay Kumar Quarelling With Remo D'souza- Comedy Scenes | Entertainment | Hindi Film,"6,443,672",Comedy and Entertainment
26,xkJLSE-Fiyg&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,Touching Prank 😛 just for laughs 😇 #comedy #funny #pranks,"138,797,009",Comedy and Entertainment
27,LlvvPgQF0rc&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,Funny Joke Performance | Dhee 15 | Championship Battle | 24th May 2023 | ETV Telugu,"6,821,312",Comedy and Entertainment
28,M5pI5Dj5JTk&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,Mike Vecchione | The Attractives (Full Comedy Special),"1,480,518",Comedy and Entertainment
29,7oACK-iI6sE&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,डॉन दिव्यांश का असिस्टेंट बलराज | कॉमेडी सर्कस 2018,"4,956,074",Comedy and Entertainment
30,FVh-aDHV_fA&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,"Entertainment | Akshay Kumar, Tamannaah Bhatia | Hindi Movie Part 4","7,549,675",Comedy and Entertainment
31,_08N8VF_Q&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,Must Watch New Special Comedy Video 2023 😎Totally Amazing Comedy Episode 227#busyfunltd,"21,477,266",Comedy and Entertainment
32,-zbIfF-RYA&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,Rajpal Yadav Comedy Scenes {HD} - Top Comedy Scenes - Weekend Comedy Special - Indian Comedy,"35,284,428",Comedy and Entertainment
33,M6nFF62XnPI&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,विधवा माइकी || आदिवासी कॉमेडी विडियो || New Adivasi Comedy video || Directed by Elan Tanti ||,"24,184",Comedy and Entertainment
34,R6bipieCWM&pp=ygUYQ29tZWR5IGFuZCBFbnRlcnRhaW5tZW50,"Entertainment | Akshay Kumar, Tamannaah Bhatia | Hindi Movie Part 7","6,411,556",Comedy and Entertainment
35,_rugpZrMa6w&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,What is 5G? A GAO Science and Technology Explainer,"2,960",Science and Technology Explainers
36,F6sLcESv-yg&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Best Explainer Video for Data Science Product | Qualetics | Best Motion Graphics Video,"29,236",Science and Technology Explainers
37,4uxQmzqAbOA&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Animation Styles: 2-Minute Explainer Technology Videos,"2,669",Science and Technology Explainers
38,UNbsDdqV3ms&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Science Explainers: How it works,655,Science and Technology Explainers
39,0u3HABxjo&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Explainer Video for Enterprise Big Data Analytics - Stream Analytix | Motion Graphics Animation,"30,743",Science and Technology Explainers
40,CC-wf4HV2EQ&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,How to Explain a Technology Solution with a 2-Minute Explainer Video,833,Science and Technology Explainers
41,F96q9CiOtq8&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,14 Explainer Video Styles for 2023 | by Yum Yum Videos,"90,601",Science and Technology Explainers
42,WjwDSgBEQJc&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Tech Explainer Video — Panoply,"13,936",Science and Technology Explainers
43,g5sDa2grAKI&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Technology Explainer Video for DuploCloud,"2,571",Science and Technology Explainers
44,BdTGkd_sbNs&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,The True Meaning Of Life (Animated Cinematic),"1,483,110",Science and Technology Explainers
45,1M8scmaWxc&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,What is OpenAI’s super-secret Project Q*? | About That,"51,145",Science and Technology Explainers
46,XXzt-LFTGI&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,"Joe Biden Trolled For 'Looking Lost' On Stage With World Leaders, Fumbling Over Tech Firm's Name","137,274",Science and Technology Explainers
47,1o2fnTNxE_Q&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,The Archaeology Iceberg Explained,"6,352,193",Science and Technology Explainers
48,JJ0nFD19eT8&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Globalization explained (explainity® explainer video),"4,188,123",Science and Technology Explainers
49,i7Y4KIIb5ck&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Constant Technologies Explainer Video,"13,605",Science and Technology Explainers
50,EG4KHwZut0o&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Animated Explainer Video for Solar Power / After Effects Motion Graphics / Minimalist,"36,071",Science and Technology Explainers
51,ZUXNCY2R5Wo&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,3D EXPLAINER VIDEO ANIMATION | 3D ANIMATED INFOGRAPHICS PRESENTATION | DUBAI | UAE,"51,803",Science and Technology Explainers
52,EsweGIQyc&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Lentner Technology - Explainer Animation,43,Science and Technology Explainers
53,G7QZ5SC18KI&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Explainer Animation for SPRINT - SPace Research and Innovation Network for Technology,276,Science and Technology Explainers
54,7bM-iXFSsHg&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Enterprise Solution Explainer Video: JOS VDI Cloud Computing | Premium Animation,"12,158",Science and Technology Explainers
55,98opLll-gg&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,How To Create Animated Explainer Videos For Youtube - Step by Step Guide,"105,237",Science and Technology Explainers
56,xi6KrKQo8vE&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Level Access Technology Explainer Video by Explainify,28,Science and Technology Explainers
57,fSaN31qi1E&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Contact Center AI Platform Explainer Video,"10,668",Science and Technology Explainers
58,1M_uBWx5pPk&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,TVSC Give Send Go explainer video,731,Science and Technology Explainers
59,za_ZKM0kbPA&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,"STEM explains the world! Science, Technology, Engineering, Mathematics","36,424",Science and Technology Explainers
60,xxhAtE3RnUg&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Theon Technology Explainer Video,115,Science and Technology Explainers
61,0bnTahEKWeg&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Bachelor of Computer Science course explainer | Monash Information Technology,"4,164",Science and Technology Explainers
62,lOlWesNjvVw&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Education Technology | EdTech Explainer,"2,561",Science and Technology Explainers
63,4jsjJoY36g&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,SRM Institute of Science and Technology- Waste Management Explainer Video,60,Science and Technology Explainers
64,g1VP9lAEeNo&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Quanta Technology: Explainer Video,"2,726",Science and Technology Explainers
65,BvnJiC_zTGU&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Explainer video for the Science & Technology Ambassador program by Bernadette Hyland-Wood,22,Science and Technology Explainers
66,PNB-a-yMF8&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,"""Apollo"" A motion detection Technology | Apollo Explainer Video Public",286,Science and Technology Explainers
67,qPBSvlhe9v0&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Bachelor of Information Technology course explainer | Monash Information Technology,"10,853",Science and Technology Explainers
68,DsjcA6D3zA&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Tech Explainer | What is Robotics?,"18,804",Science and Technology Explainers
69,4I1zDY8MFgQ&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Nuspire - Video 3 | Explainer Video by Animation Explainers,209,Science and Technology Explainers
70,ETkNFeRt05c&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,WhiteFox Defense - Tech Explainer Video,793,Science and Technology Explainers
71,CCs7PtVKe4&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Science Tech Company Explainer (2D),187,Science and Technology Explainers
72,Q6mgqDiMYKI&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Understanding Science & Technology,53,Science and Technology Explainers
73,Ex6bUThvfmA&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Hyperledger Fabric Explainer (3D VR Science and Technology),341,Science and Technology Explainers
74,Yip_Vuv8J0&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Blockchain Expert Explains One Concept in 5 Levels of Difficulty | WIRED,"5,486,769",Science and Technology Explainers
75,-9X_Z7yETVM&pp=ygUhU2NpZW5jZSBhbmQgVGVjaG5vbG9neSBFeHBsYWluZXJz,Thyme IT Technologies explainer video,126,Science and Technology Explainers
76,zlwC3XwfY&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,Who Even Is An Entrepreneur?: Crash Course Business - Entrepreneurship #1,"1,075,923",Business and Entrepreneurship
77,Ihs4VFZWwn4&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,The Power of an Entrepreneurial Mindset | Bill Roche | TEDxLangleyED,"841,569",Business and Entrepreneurship
78,MN7yfV4UuCI&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,How To Build A Business That Works | Brian Tracy #GENIUS,"1,983,849",Business and Entrepreneurship
79,jKQ7uOd0U_M&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,Think Like A Grand Master Entrepreneur- 2019 Driven Keynote,"4,313,293",Business and Entrepreneurship
80,f6nxcfbDfZo&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,What they don't tell you about entrepreneurship | Mark Leruste | TEDxCardiff,"1,257,766",Business and Entrepreneurship
81,lGYg5n6rNs&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,"how to be young and successful (ULTIMATE GUIDE) | mindset, habits, entrepreneurship","311,257",Business and Entrepreneurship
82,_q0tcUYB6w4&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,Innovation and Entrepreneurship in the Elizabethan theatre,244,Business and Entrepreneurship
83,QoqohmccTSc&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,50 Entrepreneurs share priceless advice,"4,371,996",Business and Entrepreneurship
84,IVNK5gkVq2Q&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,OUTWORK EVERYONE | Brutally Honest Business Advice from Billionaire Mark Cuban,"2,212,703",Business and Entrepreneurship
85,R1UHp1SVe2k&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,20 Rules for Entrepreneurs,"106,844",Business and Entrepreneurship
86,ls9be-9C-uk&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,6 BEST Pieces Of Business Advice That Made Me Millions | E103,"442,519",Business and Entrepreneurship
87,Svw-oXtXO-c&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,10 Minutes for the next 10 years - POWERFUL Motivational Speeches (MUST WATCH),"93,823",Business and Entrepreneurship
88,89Vpqm2IaPE&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,Jordan Peterson Reveals How to Sell Anything to Anyone,"3,856,545",Business and Entrepreneurship
89,A54VFBYfF9U&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,Want To Be Rich? Don’t Start A Business.,"1,295,610",Business and Entrepreneurship
90,niOV_jSVCKs&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,How to Cultivate an Entrepreneurial Mindset | Linda Chiou | TEDxKerrisdaleLive,"294,936",Business and Entrepreneurship
91,7TWKKww-F30&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,"""I Got Rich When I Understood This"" | Jeff Bezos","8,063,846",Business and Entrepreneurship
92,QpM1DDK8P34&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,"Small Business for Beginners and Dummies (Startup, Motivation, Entrepreneurship) - Full Audiobook","42,696",Business and Entrepreneurship
93,zNZzyVD0LzY&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,ENTREPRENEUR MINDSET - Best Motivational Video For Self-Made Success,"201,240",Business and Entrepreneurship
94,nE0q_Oti8w&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,Every Entrepreneur Needs to Hear This | Inspiring Motivational Compilation 2022,"22,417",Business and Entrepreneurship
95,jOgqIbeLXkE&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,Entrepreneurship Masterclass: How to Make $10k - $1M per Month - Daniel Priestley,"1,241,969",Business and Entrepreneurship
96,ZEMbKzy7FD8&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,How to Write a Business Plan - Entrepreneurship 101,"2,053,974",Business and Entrepreneurship
97,iywvlUk2Wfg&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,How to Develop a Business Idea: Crash Course Business - Entrepreneurship #2,"512,929",Business and Entrepreneurship
98,zlrb_X6fYZ0&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,Business Plan Writing 101: Wharton Entrepreneurship Series,"1,391,864",Business and Entrepreneurship
99,rRpMrAMesbA&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,What Is an Entrepreneur?,"106,085",Business and Entrepreneurship
100,JHtmJMtMetM&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,The BEST Advice for Entrepreneurs - Robert Kiyosaki,"529,120",Business and Entrepreneurship
101,lJjILQu2xM8&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,How to be an Entrepreneur,"1,482,396",Business and Entrepreneurship
102,-VxGDB5Rk3s&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,What Is the Real Difference Between An Entrepreneur And A Business Owner?,"71,645",Business and Entrepreneurship
103,1jusPIu5cw&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,How to grow and operate a business | Business Advice For Entrepreneurs,"189,147",Business and Entrepreneurship
104,qgc89GEO_nE&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,12 Mistakes I Made My First Year as an Entrepreneur,"2,086,843",Business and Entrepreneurship
105,97Bh7cOT2Go&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,You Don't Want To Start A Business - But It's Important That You Think You Do - How Money Works,"1,267,993",Business and Entrepreneurship
106,MdNNGfoxrqA&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,"What is Entrepreneurship? definition, characteristics and entrepreneurial process","705,614",Business and Entrepreneurship
107,M12Uv0mZQM&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,15 Reasons Entrepreneurship Isn't For You,"79,036",Business and Entrepreneurship
108,6dKIOSe2A2o&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,10 Business Models for Every Entrepreneur,"209,283",Business and Entrepreneurship
109,jffyqZRIcHc&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,Mark Cuban - The #1 Reason Why Most People Fail In Business,"3,072,578",Business and Entrepreneurship
110,SUbDvCn73pI&pp=ygUdQnVzaW5lc3MgYW5kIEVudHJlcHJlbmV1cnNoaXA%3D,Differences between Businessman and Entrepreneur.,"14,780",Business and Entrepreneurship
